,Coarse RCA %,Water absorption,w/c,fcm (MPa),t¨Ct0 (days),h0 (mm),RH (%),¦Òc(t0)/ fcm(t0),Ecm (MPa),Ecm(t0) (MPa),"¦ÕMC(t,t0)"
194,20,5.4,0.65,46.66,140,75,75,0.33,32530,34310,1.011353701
195,20,5.4,0.65,46.66,376,75,75,0.33,32530,34310,1.056544412
196,20,5.4,0.65,46.66,588,75,75,0.33,32530,34310,1.082032811
197,20,5.4,0.65,46.66,1000,75,75,0.33,32530,34310,1.288374644
198,50,5.4,0.65,42.23,9,75,75,0.26,27410,29300,0.59796925
199,50,5.4,0.65,42.23,15,75,75,0.26,27410,29300,0.667246141
200,50,5.4,0.65,42.23,28,75,75,0.26,27410,29300,0.606002742
201,50,5.4,0.65,42.23,57,75,75,0.26,27410,29300,0.511121998
202,50,5.4,0.65,42.23,92,75,75,0.26,27410,29300,0.83770332
203,50,5.4,0.65,42.23,142,75,75,0.26,27410,29300,0.934463767
204,50,5.4,0.65,42.23,376,75,75,0.26,27410,29300,1.037700877
205,50,5.4,0.65,42.23,588,75,75,0.26,27410,29300,1.256514784
206,50,5.4,0.65,42.23,1000,75,75,0.26,27410,29300,1.417925697
207,100,5.4,0.65,32.36,8,75,75,0.39,24050,23980,0.646593871
208,100,5.4,0.65,32.36,14,75,75,0.39,24050,23980,0.688648773
209,100,5.4,0.65,32.36,33,75,75,0.39,24050,23980,0.692159231
210,100,5.4,0.65,32.36,56,75,75,0.39,24050,23980,0.680433995
211,100,5.4,0.65,32.36,90,75,75,0.39,24050,23980,1.130992832
212,100,5.4,0.65,32.36,133,75,75,0.39,24050,23980,1.387030126
213,100,5.4,0.65,32.36,369,75,75,0.39,24050,23980,1.449531506
214,100,5.4,0.65,32.36,581,75,75,0.39,24050,23980,1.67735394
215,100,5.4,0.65,32.36,1000,75,75,0.39,24050,23980,1.758964658
216,0,2,0.5,37.83,28,50,50,0.2,30000,30000,0.42
217,0,2,0.5,37.83,56,50,50,0.2,30000,30000,0.69
218,0,2,0.5,37.83,90,50,50,0.2,30000,30000,0.9
219,0,2,0.5,37.83,180,50,50,0.2,30000,30000,1.14
220,0,2,0.5,37.83,270,50,50,0.2,30000,30000,1.23
221,0,2,0.5,37.83,450,50,50,0.2,30000,30000,1.32
222,50,5.9,0.5,31.2,28,50,50,0.2,26700,26700,0.9078
223,50,5.9,0.5,31.2,56,50,50,0.2,26700,26700,1.1748
224,50,5.9,0.5,31.2,90,50,50,0.2,26700,26700,1.4685
225,50,5.9,0.5,31.2,180,50,50,0.2,26700,26700,1.8423
226,50,5.9,0.5,31.2,270,50,50,0.2,26700,26700,1.9758
227,50,5.9,0.5,31.2,450,50,50,0.2,26700,26700,2.136
228,50,5,0.5,35.88,28,50,50,0.2,29100,29100,0.4947
229,50,5,0.5,35.88,56,50,50,0.2,29100,29100,0.7566
230,50,5,0.5,35.88,90,50,50,0.2,29100,29100,0.9894
231,50,5,0.5,35.88,180,50,50,0.2,29100,29100,1.3386
232,50,5,0.5,35.88,270,50,50,0.2,29100,29100,1.4841
233,50,5,0.5,35.88,450,50,50,0.2,29100,29100,1.6296
Notes:,,,,,,,,,,,
